category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,64,8,20480,same_model,16981,0.829150390625,3499,0.170849609375,96,True,64,65,32,32,0,"[96, 40, 8]",0,True,32,True,65,96,32,0,0,32,"[65, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,64,2560,1211,0.473046875,2560,2098,0.81953125,0,0.0,0.9585416666666667,2453.866666666667,0.97646484375,2499.75,Qwen/Qwen3.6-35B-A3B
short_qa,40,127,8,40640,same_model,34391,0.8462352362204725,6249,0.15376476377952755,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2576,0.5070866141732283,5080,4055,0.7982283464566929,0,0.0,0.9535870516185477,4844.222222222223,0.9736712598425197,4946.25,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,same_model,32110,0.7901082677165354,8530,0.20989173228346455,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2090,0.41141732283464566,5080,3853,0.7584645669291339,0,0.0,0.9415342400381771,4782.993939393939,0.966363188976378,4909.125,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,same_model,33322,0.8199311023622047,7318,0.18006889763779527,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2366,0.465748031496063,5080,3945,0.7765748031496063,0,0.0,0.9450685185330854,4800.948074148074,0.9679379921259843,4917.125,Qwen/Qwen3.6-35B-A3B
mixed_language,40,127,8,40640,same_model,33498,0.8242618110236221,7142,0.17573818897637794,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2400,0.47244094488188976,5080,3990,0.7854330708661418,0,0.0,0.9475105646759191,4813.353668553668,0.9694635826771654,4924.875,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,same_model,32878,0.8090059055118111,7762,0.19099409448818896,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2267,0.44625984251968503,5080,3949,0.7773622047244094,0,0.0,0.94584812387962,4804.90846930847,0.9686023622047244,4920.5,Qwen/Qwen3.6-35B-A3B
math_numeric,40,127,8,40640,same_model,29488,0.7255905511811024,11152,0.2744094488188976,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1758,0.34606299212598424,5080,3373,0.6639763779527559,0,0.0,0.9033642516713382,4589.090398490399,0.9407972440944882,4779.25,Qwen/Qwen3.6-35B-A3B
low_margin,40,127,8,40640,same_model,32329,0.7954970472440945,8311,0.20450295275590552,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2086,0.41062992125984255,5080,3808,0.7496062992125985,0,0.0,0.9404342638988309,4777.40606060606,0.9658956692913386,4906.75,Qwen/Qwen3.6-35B-A3B
logs,40,127,8,40640,same_model,33247,0.8180856299212599,7393,0.18191437007874015,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2367,0.4659448818897638,5080,3979,0.783267716535433,0,0.0,0.9458850860425664,4805.096237096237,0.9681348425196851,4918.125,Qwen/Qwen3.6-35B-A3B
summarization,40,127,8,40640,same_model,34218,0.8419783464566929,6422,0.15802165354330708,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2606,0.5129921259842519,5080,4109,0.8088582677165355,0,0.0,0.9552350274397517,4852.59393939394,0.9744586614173228,4950.25,Qwen/Qwen3.6-35B-A3B
