category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_common_layers,raw_shape_match,sample_id,selected_layers,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,1,108,8,864,same_model,825,0.9548611111111112,39,0.04513888888888889,140,True,108,109,32,32,0,"[140, 40, 8]",0,True,32,True,109,140,32,0,0,32,"[109, 40, 8]",1,40,False,0003c1ab20d811680fab,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,108,108,89,0.8240740740740741,108,104,0.9629629629629629,89,0.8240740740740741,0.9917695473251029,107.11111111111111,0.9953703703703703,107.5,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,1,127,8,1016,same_model,979,0.9635826771653543,37,0.03641732283464567,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,40,False,00948d836971f053bbf9,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,108,0.8503937007874016,127,121,0.952755905511811,108,0.8503937007874016,0.9895013123359581,125.66666666666667,0.9940944881889764,126.25,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,1,127,8,1016,same_model,949,0.9340551181102362,67,0.06594488188976377,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00afd811d2fb32cde01b,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,94,0.7401574803149606,127,116,0.9133858267716536,94,0.7401574803149606,0.9807524059492565,124.55555555555556,0.9891732283464567,125.625,Qwen/Qwen3.6-35B-A3B-FP8
chat,1,127,8,1016,same_model,965,0.9498031496062992,51,0.05019685039370079,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00c5b0bb8b418f1087d2,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,101,0.7952755905511811,127,122,0.9606299212598425,101,0.7952755905511811,0.9912510936132983,125.88888888888889,0.9950787401574803,126.375,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,1,127,8,1016,same_model,965,0.9498031496062992,51,0.05019685039370079,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00ea1d2b9e3c897033ae,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,102,0.8031496062992126,127,116,0.9133858267716536,102,0.8031496062992126,0.9807524059492563,124.55555555555556,0.9891732283464567,125.625,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,1,127,8,1016,same_model,964,0.9488188976377953,52,0.051181102362204724,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,01159c067d84ad43a166,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,104,0.8188976377952756,127,124,0.9763779527559056,104,0.8188976377952756,0.994750656167979,126.33333333333333,0.9970472440944882,126.625,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,1,127,8,1016,same_model,963,0.9478346456692913,53,0.05216535433070866,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,014c2c850a48d8d32f72,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,101,0.7952755905511811,127,122,0.9606299212598425,101,0.7952755905511811,0.9912510936132983,125.88888888888889,0.9950787401574803,126.375,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,1,127,8,1016,same_model,983,0.96751968503937,33,0.03248031496062992,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,014ff27d5116c25971aa,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,111,0.8740157480314961,127,124,0.9763779527559056,111,0.8740157480314961,0.994750656167979,126.33333333333333,0.9970472440944882,126.625,Qwen/Qwen3.6-35B-A3B-FP8
logs,1,127,8,1016,same_model,955,0.9399606299212598,61,0.060039370078740155,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,0167de77ade28a1387ba,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,97,0.7637795275590551,127,121,0.952755905511811,97,0.7637795275590551,0.9895013123359581,125.66666666666667,0.9940944881889764,126.25,Qwen/Qwen3.6-35B-A3B-FP8
summarization,1,127,8,1016,same_model,965,0.9498031496062992,51,0.05019685039370079,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,022f9baa16bf97afecb7,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,127,100,0.7874015748031497,127,118,0.9291338582677166,100,0.7874015748031497,0.984251968503937,125.0,0.9911417322834646,125.875,Qwen/Qwen3.6-35B-A3B-FP8
