category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,127,8,40640,cross_model,28977,0.7130167322834645,11663,0.28698326771653543,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1317,0.259251968503937,5080,3345,0.6584645669291339,0,0.0,0.9126477066240846,4636.25034965035,0.9478100393700788,4814.875,Qwen/Qwen3.6-35B-A3B
short_qa,40,127,8,40640,cross_model,29623,0.7289124015748032,11017,0.27108759842519686,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1405,0.2765748031496063,5080,3411,0.6714566929133858,0,0.0,0.9199623735844208,4673.408857808858,0.9535679133858268,4844.125,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,28853,0.7099655511811024,11787,0.2900344488188976,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1252,0.24645669291338582,5080,3330,0.655511811023622,0,0.0,0.9149212991732677,4647.8001998002,0.9505167322834646,4828.625,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,cross_model,29484,0.725492125984252,11156,0.27450787401574805,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1363,0.26830708661417324,5080,3378,0.6649606299212598,0,0.0,0.9179357475420468,4663.113597513598,0.9525098425196851,4838.75,Qwen/Qwen3.6-35B-A3B
mixed_language,40,127,8,40640,cross_model,29041,0.7145915354330709,11599,0.28540846456692914,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1301,0.25610236220472443,5080,3417,0.6726377952755905,0,0.0,0.914711530813893,4646.734576534576,0.9488435039370079,4820.125,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,27859,0.6855068897637795,12781,0.31449311023622045,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1084,0.21338582677165355,5080,3086,0.6074803149606299,0,0.0,0.9037852785884283,4591.229215229216,0.9444143700787402,4797.625,Qwen/Qwen3.6-35B-A3B
math_numeric,40,127,8,40640,cross_model,27385,0.6738435039370079,13255,0.32615649606299213,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1143,0.225,5080,3116,0.6133858267716535,0,0.0,0.8969842580866203,4556.680031080031,0.9386072834645669,4768.125,Qwen/Qwen3.6-35B-A3B
low_margin,40,127,8,40640,cross_model,29193,0.7183316929133858,11447,0.28166830708661417,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1349,0.2655511811023622,5080,3362,0.6618110236220472,0,0.0,0.9172903955187419,4659.835209235209,0.9520423228346456,4836.375,Qwen/Qwen3.6-35B-A3B
logs,40,127,8,40640,cross_model,28641,0.7047490157480315,11999,0.2952509842519685,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1279,0.2517716535433071,5080,3299,0.6494094488188976,0,0.0,0.9130215104230852,4638.149272949273,0.9495324803149606,4823.625,Qwen/Qwen3.6-35B-A3B
summarization,40,127,8,40640,cross_model,29733,0.731619094488189,10907,0.26838090551181104,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1425,0.28051181102362205,5080,3447,0.6785433070866141,0,0.0,0.9206184235711795,4676.741591741592,0.9535187007874015,4843.875,Qwen/Qwen3.6-35B-A3B
