category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,127,8,40640,same_model,29798,0.7332185039370078,10842,0.2667814960629921,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1516,0.2984251968503937,5080,3470,0.6830708661417323,0,0.0,0.9192243146180155,4669.659518259518,0.9515994094488189,4834.125,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,40,127,8,40640,same_model,31528,0.7757874015748032,9112,0.22421259842519686,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1784,0.35118110236220473,5080,3759,0.7399606299212599,0,0.0,0.937760463508495,4763.823154623155,0.9642224409448819,4898.25,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,29792,0.7330708661417323,10848,0.2669291338582677,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1503,0.2958661417322835,5080,3492,0.6874015748031496,0,0.0,0.9236484469161634,4692.13411033411,0.9556102362204725,4854.5,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,same_model,30558,0.7519192913385827,10082,0.24808070866141732,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1596,0.31417322834645667,5080,3580,0.7047244094488189,0,0.0,0.9287843914615567,4718.224708624709,0.9590305118110236,4871.875,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,40,127,8,40640,same_model,29946,0.7368602362204725,10694,0.2631397637795276,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1531,0.3013779527559055,5080,3513,0.6915354330708662,0,0.0,0.9217004299287764,4682.238184038184,0.9533956692913386,4843.25,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,29015,0.7139517716535433,11625,0.2860482283464567,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1356,0.2669291338582677,5080,3336,0.6566929133858268,0,0.0,0.915873575243654,4652.637762237762,0.9513779527559055,4833.0,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,same_model,28846,0.7097933070866141,11794,0.2902066929133858,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1440,0.28346456692913385,5080,3338,0.6570866141732283,0,0.0,0.9105258346203228,4625.47123987124,0.947121062992126,4811.375,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,same_model,29993,0.7380167322834645,10647,0.2619832677165354,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1486,0.2925196850393701,5080,3482,0.6854330708661417,0,0.0,0.9232800795005519,4690.262803862804,0.9556102362204725,4854.5,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,same_model,29755,0.7321604330708661,10885,0.26783956692913385,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1482,0.2917322834645669,5080,3399,0.6690944881889764,0,0.0,0.9171438273013075,4659.090642690643,0.9512057086614173,4832.125,Qwen/Qwen3.6-35B-A3B-FP8
summarization,40,127,8,40640,same_model,30597,0.752878937007874,10043,0.247121062992126,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1612,0.3173228346456693,5080,3521,0.6931102362204724,0,0.0,0.9262766367490777,4705.485314685315,0.9576525590551181,4864.875,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,same_model,29632,0.7291338582677165,11008,0.27086614173228346,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0250f87838b3c4e749b5,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1375,0.2706692913385827,5080,3422,0.6736220472440945,0,0.0,0.9204011211885227,4675.637695637695,0.953986220472441,4846.25,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,same_model,30612,0.753248031496063,10028,0.24675196850393702,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,027150b07a186d142ae6,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1632,0.32125984251968503,5080,3575,0.7037401574803149,0,0.0,0.9283689101799337,4716.114063714063,0.9587352362204724,4870.375,Qwen/Qwen3.6-35B-A3B-FP8
needle,40,127,8,40640,same_model,29726,0.7314468503937008,10914,0.2685531496062992,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,02a3fef10ad703b70508,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1442,0.28385826771653544,5080,3431,0.6753937007874016,0,0.0,0.9223327765847451,4685.450505050505,0.9554872047244094,4853.875,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,same_model,28008,0.6891732283464567,12632,0.31082677165354333,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03475cd4ee88e0e9400a,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1285,0.2529527559055118,5080,3179,0.6257874015748032,0,0.0,0.8960568171985496,4551.968631368632,0.9363681102362205,4756.75,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,same_model,30505,0.7506151574803149,10135,0.24938484251968504,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,0364b7d8d89c84a3bd6d,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1600,0.31496062992125984,5080,3569,0.7025590551181102,0,0.0,0.9288472245165158,4718.5439005439,0.9591535433070866,4872.5,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,30502,0.7505413385826771,10138,0.24945866141732284,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,0394d59a86c26188b0e5,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1590,0.31299212598425197,5080,3542,0.697244094488189,0,0.0,0.927088694332789,4709.610567210567,0.9580462598425197,4866.875,Qwen/Qwen3.6-35B-A3B-FP8
code,40,127,8,40640,same_model,30932,0.7611220472440945,9708,0.2388779527559055,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03abe1c0830e3621b532,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1669,0.32854330708661417,5080,3614,0.7114173228346456,0,0.0,0.9292927544896049,4720.807192807193,0.9589566929133858,4871.5,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,same_model,29222,0.7190452755905512,11418,0.2809547244094488,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03adb09fa2be78c52cff,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1366,0.2688976377952756,5080,3384,0.6661417322834645,0,0.0,0.9163666604611487,4655.142635142635,0.9512549212598426,4832.375,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,29808,0.7334645669291339,10832,0.26653543307086613,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03be0a1c2e15e0e45156,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1485,0.29232283464566927,5080,3463,0.6816929133858268,0,0.0,0.9215271124326242,4681.357731157731,0.9543799212598425,4848.25,Qwen/Qwen3.6-35B-A3B-FP8
needle,40,127,8,40640,same_model,29553,0.7271899606299213,11087,0.27281003937007875,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03c274dea50b8653f42a,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1436,0.2826771653543307,5080,3447,0.6785433070866141,0,0.0,0.9206370794559772,4676.836363636364,0.9541092519685039,4846.875,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,same_model,22423,0.5517470472440945,18217,0.4482529527559055,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03d767a5e1b20a947895,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,556,0.1094488188976378,5080,2059,0.4053149606299213,0,0.0,0.8200377225574076,4165.791630591631,0.886515748031496,4503.5,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,same_model,29910,0.7359744094488189,10730,0.2640255905511811,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,043a64a79e93471ae3d3,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1510,0.297244094488189,5080,3391,0.6675196850393701,0,0.0,0.9175098479822889,4660.950027750027,0.9519192913385827,4835.75,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,same_model,29936,0.7366141732283464,10704,0.26338582677165356,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0458db6cb441016028c1,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1534,0.30196850393700786,5080,3443,0.677755905511811,0,0.0,0.9199866056952671,4673.531956931957,0.953248031496063,4842.5,Qwen/Qwen3.6-35B-A3B-FP8
