category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,108,8,34560,same_model,27215,0.7874710648148148,7345,0.21252893518518517,140,True,108,109,32,32,0,"[140, 40, 8]",0,True,32,True,109,140,32,0,0,32,"[109, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,108,4320,1659,0.3840277777777778,4320,3283,0.7599537037037037,0,0.0,0.9433030446919335,4075.069153069153,0.9675347222222223,4179.75,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,40,127,8,40640,same_model,31182,0.7672736220472441,9458,0.23272637795275591,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1714,0.3374015748031496,5080,3704,0.7291338582677165,0,0.0,0.9362061560486757,4755.927272727273,0.9635826771653543,4895.0,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,28889,0.7108513779527559,11751,0.2891486220472441,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1312,0.25826771653543307,5080,3294,0.6484251968503937,0,0.0,0.9128054797346135,4637.051837051837,0.9491141732283465,4821.5,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,same_model,29896,0.7356299212598425,10744,0.2643700787401575,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1498,0.29488188976377955,5080,3489,0.6868110236220473,0,0.0,0.9228550189967512,4688.103496503497,0.9553149606299213,4853.0,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,40,127,8,40640,same_model,29267,0.7201525590551181,11373,0.2798474409448819,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1405,0.2765748031496063,5080,3398,0.6688976377952756,0,0.0,0.9122429014555,4634.193939393939,0.9466535433070866,4809.0,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,28020,0.6894685039370079,12620,0.31053149606299213,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1162,0.22874015748031495,5080,3137,0.61751968503937,0,0.0,0.9049191490923776,4596.989277389277,0.9448572834645669,4799.875,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,same_model,29489,0.7256151574803149,11151,0.27438484251968503,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1451,0.28562992125984255,5080,3405,0.6702755905511811,0,0.0,0.9173914187300014,4660.348407148407,0.9518454724409449,4835.375,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,same_model,30595,0.7528297244094488,10045,0.2471702755905512,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1609,0.31673228346456694,5080,3564,0.7015748031496063,0,0.0,0.928480076354092,4716.678787878788,0.9589812992125984,4871.625,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,same_model,30063,0.7397391732283465,10577,0.2602608267716535,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1520,0.2992125984251969,5080,3444,0.6779527559055119,0,0.0,0.9206510462415975,4676.907314907315,0.9536417322834646,4844.5,Qwen/Qwen3.6-35B-A3B-FP8
summarization,40,127,8,40640,same_model,31574,0.7769192913385827,9066,0.22308070866141733,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1830,0.36023622047244097,5080,3734,0.7350393700787402,0,0.0,0.9352034666995297,4750.833610833611,0.9623769685039371,4888.875,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,same_model,30196,0.743011811023622,10444,0.25698818897637793,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0250f87838b3c4e749b5,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1553,0.30570866141732284,5080,3510,0.6909448818897638,0,0.0,0.9241007286676578,4694.431701631702,0.9560531496062992,4856.75,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,same_model,29986,0.7378444881889764,10654,0.26215551181102364,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,027150b07a186d142ae6,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1551,0.30531496062992125,5080,3514,0.6917322834645669,0,0.0,0.9236829618325683,4692.309446109446,0.9553641732283464,4853.25,Qwen/Qwen3.6-35B-A3B-FP8
needle,40,127,8,40640,same_model,28825,0.7092765748031497,11815,0.2907234251968504,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,02a3fef10ad703b70508,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1338,0.26338582677165356,5080,3278,0.6452755905511811,0,0.0,0.9122894078799592,4634.430192030192,0.9491141732283465,4821.5,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,78,8,24960,same_model,17487,0.7006009615384615,7473,0.2993990384615385,110,True,78,79,32,32,0,"[110, 40, 8]",0,True,32,True,79,110,32,0,0,32,"[79, 40, 8]",1,False,03475cd4ee88e0e9400a,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,78,3120,777,0.24903846153846154,3120,2012,0.6448717948717949,0,0.0,0.9134291634291634,2849.89898989899,0.9500400641025641,2964.125,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,same_model,30367,0.7472194881889764,10273,0.2527805118110236,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,0364b7d8d89c84a3bd6d,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1570,0.3090551181102362,5080,3530,0.6948818897637795,0,0.0,0.9259762984172432,4703.959595959596,0.9573818897637796,4863.5,Qwen/Qwen3.6-35B-A3B-FP8
