category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_common_layers,raw_shape_match,sample_id,selected_layers,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,1,64,8,512,cross_model,457,0.892578125,55,0.107421875,96,True,64,65,32,32,0,"[96, 40, 8]",0,True,32,True,65,96,32,0,0,32,"[65, 40, 8]",1,40,False,0003c1ab20d811680fab,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,64,64,40,0.625,64,59,0.921875,40,0.625,0.9826388888888888,62.888888888888886,0.990234375,63.375,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,1,127,8,1016,cross_model,927,0.9124015748031497,89,0.08759842519685039,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,40,False,00948d836971f053bbf9,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,85,0.6692913385826772,127,114,0.8976377952755905,85,0.6692913385826772,0.9772528433945757,124.11111111111111,0.9872047244094488,125.375,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,1,127,8,1016,cross_model,892,0.8779527559055118,124,0.1220472440944882,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00afd811d2fb32cde01b,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,75,0.5905511811023622,127,118,0.9291338582677166,75,0.5905511811023622,0.984251968503937,125.0,0.9911417322834646,125.875,Qwen/Qwen3.6-35B-A3B-FP8
chat,1,127,8,1016,cross_model,893,0.8789370078740157,123,0.12106299212598425,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00c5b0bb8b418f1087d2,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,74,0.5826771653543307,127,113,0.889763779527559,74,0.5826771653543307,0.9755030621172355,123.88888888888889,0.9862204724409449,125.25,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,1,127,8,1016,cross_model,886,0.8720472440944882,130,0.1279527559055118,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00ea1d2b9e3c897033ae,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,66,0.5196850393700787,127,108,0.8503937007874016,66,0.5196850393700787,0.9667541557305336,122.77777777777777,0.9812992125984252,124.625,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,1,127,8,1016,cross_model,892,0.8779527559055118,124,0.1220472440944882,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,01159c067d84ad43a166,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,76,0.5984251968503937,127,118,0.9291338582677166,76,0.5984251968503937,0.984251968503937,125.0,0.9911417322834646,125.875,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,1,127,8,1016,cross_model,911,0.8966535433070866,105,0.10334645669291338,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,014c2c850a48d8d32f72,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,74,0.5826771653543307,127,109,0.8582677165354331,74,0.5826771653543307,0.968503937007874,123.0,0.9822834645669292,124.75,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,1,127,8,1016,cross_model,902,0.8877952755905512,114,0.11220472440944881,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,014ff27d5116c25971aa,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,75,0.5905511811023622,127,116,0.9133858267716536,75,0.5905511811023622,0.9807524059492564,124.55555555555556,0.9891732283464567,125.625,Qwen/Qwen3.6-35B-A3B-FP8
logs,1,127,8,1016,cross_model,897,0.8828740157480315,119,0.1171259842519685,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,0167de77ade28a1387ba,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,73,0.5748031496062992,127,118,0.9291338582677166,73,0.5748031496062992,0.984251968503937,125.0,0.9911417322834646,125.875,Qwen/Qwen3.6-35B-A3B-FP8
summarization,1,127,8,1016,cross_model,920,0.905511811023622,96,0.09448818897637795,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,022f9baa16bf97afecb7,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,84,0.6614173228346457,127,114,0.8976377952755905,84,0.6614173228346457,0.9772528433945757,124.11111111111111,0.9872047244094488,125.375,Qwen/Qwen3.6-35B-A3B-FP8
logs,1,127,8,1016,cross_model,918,0.9035433070866141,98,0.09645669291338582,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,0250f87838b3c4e749b5,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,82,0.6456692913385826,127,117,0.9212598425196851,82,0.6456692913385826,0.9825021872265968,124.77777777777777,0.9901574803149606,125.75,Qwen/Qwen3.6-35B-A3B-FP8
chat,1,127,8,1016,cross_model,885,0.8710629921259843,131,0.12893700787401574,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,027150b07a186d142ae6,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,70,0.5511811023622047,127,110,0.8661417322834646,70,0.5511811023622047,0.9702537182852145,123.22222222222223,0.9832677165354331,124.875,Qwen/Qwen3.6-35B-A3B-FP8
needle,1,127,8,1016,cross_model,892,0.8779527559055118,124,0.1220472440944882,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,02a3fef10ad703b70508,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,71,0.5590551181102362,127,114,0.8976377952755905,71,0.5590551181102362,0.9772528433945757,124.11111111111111,0.9872047244094488,125.375,Qwen/Qwen3.6-35B-A3B-FP8
logs,1,127,8,1016,cross_model,910,0.8956692913385826,106,0.10433070866141732,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,03475cd4ee88e0e9400a,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,76,0.5984251968503937,127,113,0.889763779527559,76,0.5984251968503937,0.9741032370953631,123.71111111111111,0.985236220472441,125.125,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,1,127,8,1016,cross_model,919,0.9045275590551181,97,0.09547244094488189,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,0364b7d8d89c84a3bd6d,0,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,127,80,0.6299212598425197,127,114,0.8976377952755905,80,0.6299212598425197,0.9772528433945757,124.11111111111111,0.9872047244094488,125.375,Qwen/Qwen3.6-35B-A3B-FP8
