category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,64,8,20480,cross_model,15494,0.75654296875,4986,0.24345703125,96,True,64,65,32,32,0,"[96, 40, 8]",0,True,32,True,65,96,32,0,0,32,"[65, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,64,2560,799,0.312109375,2560,1879,0.733984375,0,0.0,0.938688446969697,2403.042424242424,0.965185546875,2470.875,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,40,127,8,40640,cross_model,29699,0.7307824803149606,10941,0.2692175196850394,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1385,0.27263779527559057,5080,3433,0.6757874015748031,0,0.0,0.9205783149483936,4676.53783993784,0.9537401574803149,4845.0,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,28206,0.6940452755905512,12434,0.3059547244094488,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1156,0.22755905511811023,5080,3223,0.6344488188976378,0,0.0,0.9091558223054285,4618.511577311578,0.9472687007874016,4812.125,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,cross_model,29041,0.7145915354330709,11599,0.28540846456692914,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1295,0.2549212598425197,5080,3285,0.6466535433070866,0,0.0,0.910802141865134,4626.874880674881,0.947490157480315,4813.25,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,40,127,8,40640,cross_model,29034,0.7144192913385827,11606,0.2855807086614173,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1312,0.25826771653543307,5080,3394,0.6681102362204724,0,0.0,0.9143627413706152,4644.9627261627265,0.9489665354330709,4820.75,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,28864,0.710236220472441,11776,0.28976377952755905,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1261,0.24822834645669292,5080,3301,0.6498031496062993,0,0.0,0.9154974946313528,4650.727272727273,0.9514271653543307,4833.25,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,cross_model,24556,0.6042322834645669,16084,0.3957677165354331,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,818,0.1610236220472441,5080,2651,0.5218503937007875,0,0.0,0.8526347099969147,4331.384326784327,0.9059547244094488,4602.25,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,cross_model,29800,0.7332677165354331,10840,0.26673228346456695,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1388,0.2732283464566929,5080,3404,0.6700787401574804,0,0.0,0.921084864391951,4679.111111111111,0.9547736220472441,4850.25,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,cross_model,29300,0.7209645669291339,11340,0.27903543307086615,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1358,0.2673228346456693,5080,3371,0.6635826771653544,0,0.0,0.9180542554558302,4663.715617715618,0.9527312992125985,4839.875,Qwen/Qwen3.6-35B-A3B-FP8
summarization,40,127,8,40640,cross_model,29777,0.7327017716535433,10863,0.26729822834645667,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1422,0.2799212598425197,5080,3422,0.6736220472440945,0,0.0,0.9192169510279747,4669.622111222111,0.9530757874015748,4841.625,Qwen/Qwen3.6-35B-A3B-FP8
