category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,64,8,20480,same_model,17511,0.855029296875,2969,0.144970703125,96,True,64,65,32,32,0,"[96, 40, 8]",0,True,32,True,65,96,32,0,0,32,"[65, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,64,2560,1360,0.53125,2560,2197,0.858203125,0,0.0,0.9676688762626263,2477.2323232323233,0.981689453125,2513.125,Qwen/Qwen3.6-35B-A3B
short_qa,40,127,8,40640,same_model,34244,0.8426181102362205,6396,0.15738188976377954,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2541,0.5001968503937008,5080,4114,0.8098425196850394,0,0.0,0.9561457090590949,4857.220202020202,0.9750984251968504,4953.5,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,same_model,31946,0.7860728346456692,8694,0.2139271653543307,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2027,0.3990157480314961,5080,3804,0.7488188976377953,0,0.0,0.9404422174500914,4777.446464646465,0.965871062992126,4906.625,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,same_model,33271,0.8186761811023622,7369,0.1813238188976378,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2343,0.4612204724409449,5080,3959,0.7793307086614173,0,0.0,0.9457445922406551,4804.382528582529,0.9683070866141732,4919.0,Qwen/Qwen3.6-35B-A3B
mixed_language,40,127,8,40640,same_model,33510,0.8245570866141733,7130,0.17544291338582677,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2407,0.4738188976377953,5080,4064,0.8,0,0.0,0.9525745645430684,4839.078787878788,0.9728346456692913,4942.0,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,same_model,32997,0.8119340551181102,7643,0.18806594488188977,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2260,0.4448818897637795,5080,3949,0.7773622047244094,0,0.0,0.9475709854450013,4813.660606060606,0.9700541338582677,4927.875,Qwen/Qwen3.6-35B-A3B
math_numeric,40,127,8,40640,same_model,28627,0.7044045275590551,12013,0.29559547244094486,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1586,0.3122047244094488,5080,3287,0.6470472440944882,0,0.0,0.8942224267421117,4542.649927849928,0.9335383858267716,4742.375,Qwen/Qwen3.6-35B-A3B
low_margin,40,127,8,40640,same_model,33212,0.8172244094488189,7428,0.1827755905511811,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2299,0.45255905511811023,5080,3949,0.7773622047244094,0,0.0,0.9482915771892151,4817.321212121212,0.9705954724409449,4930.625,Qwen/Qwen3.6-35B-A3B
logs,40,127,8,40640,same_model,33241,0.8179379921259843,7399,0.18206200787401575,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2376,0.46771653543307085,5080,3946,0.7767716535433071,0,0.0,0.9451070451857853,4801.143789543789,0.9678395669291339,4916.625,Qwen/Qwen3.6-35B-A3B
summarization,40,127,8,40640,same_model,34587,0.8510580708661417,6053,0.14894192913385826,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2725,0.5364173228346457,5080,4165,0.8198818897637795,0,0.0,0.9580081248585186,4866.681274281274,0.9760580708661417,4958.375,Qwen/Qwen3.6-35B-A3B
