category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,108,8,34560,cross_model,26303,0.761082175925926,8257,0.23891782407407408,140,True,108,109,32,32,0,"[140, 40, 8]",0,True,32,True,109,140,32,0,0,32,"[109, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,108,4320,1418,0.3282407407407407,4320,3102,0.7180555555555556,0,0.0,0.9336849981294426,4033.519191919192,0.9621527777777777,4156.5,Qwen/Qwen3.6-35B-A3B
short_qa,40,127,8,40640,cross_model,30451,0.7492864173228346,10189,0.25071358267716537,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1526,0.3003937007874016,5080,3547,0.698228346456693,0,0.0,0.9283806569633343,4716.173737373738,0.9590551181102362,4872.0,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,28106,0.6915846456692913,12534,0.30841535433070866,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1107,0.21791338582677167,5080,3132,0.6165354330708661,0,0.0,0.9051800343138926,4598.314574314574,0.9450541338582678,4800.875,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,cross_model,28716,0.7065944881889764,11924,0.29340551181102364,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1264,0.24881889763779527,5080,3277,0.6450787401574803,0,0.0,0.9114261329221959,4630.044755244755,0.9484251968503937,4818.0,Qwen/Qwen3.6-35B-A3B
mixed_language,40,127,8,40640,cross_model,29004,0.7136811023622047,11636,0.2863188976377953,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1296,0.2551181102362205,5080,3382,0.665748031496063,0,0.0,0.9146454507871832,4646.39888999889,0.9489173228346457,4820.5,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,27601,0.6791584645669292,13039,0.32084153543307087,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1052,0.20708661417322835,5080,3065,0.6033464566929134,0,0.0,0.9011682543178607,4577.934731934732,0.9426181102362204,4788.5,Qwen/Qwen3.6-35B-A3B
math_numeric,40,127,8,40640,cross_model,28460,0.7002952755905512,12180,0.29970472440944884,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1236,0.24330708661417322,5080,3241,0.6379921259842519,0,0.0,0.9073941369216959,4609.562215562216,0.9454478346456693,4802.875,Qwen/Qwen3.6-35B-A3B
low_margin,40,127,8,40640,cross_model,29568,0.7275590551181103,11072,0.27244094488188975,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1374,0.2704724409448819,5080,3455,0.6801181102362205,0,0.0,0.922943609321562,4688.553535353535,0.9557578740157481,4855.25,Qwen/Qwen3.6-35B-A3B
logs,40,127,8,40640,cross_model,29262,0.7200295275590551,11378,0.27997047244094486,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1350,0.265748031496063,5080,3347,0.6588582677165354,0,0.0,0.9146065177167538,4646.2011100011105,0.9496555118110236,4824.25,Qwen/Qwen3.6-35B-A3B
summarization,40,127,8,40640,cross_model,31166,0.7668799212598425,9474,0.23312007874015747,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1708,0.3362204724409449,5080,3735,0.735236220472441,0,0.0,0.936705333162026,4758.463092463093,0.9636811023622047,4895.5,Qwen/Qwen3.6-35B-A3B
