category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,108,8,34560,cross_model,26311,0.7613136574074074,8249,0.23868634259259258,140,True,108,109,32,32,0,"[140, 40, 8]",0,True,32,True,109,140,32,0,0,32,"[109, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,108,4320,1413,0.32708333333333334,4320,3149,0.7289351851851852,0,0.0,0.9354274223718668,4041.0464646464648,0.9629918981481481,4160.125,Qwen/Qwen3.6-35B-A3B
short_qa,40,127,8,40640,cross_model,30036,0.7390748031496063,10604,0.2609251968503937,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1434,0.28228346456692915,5080,3447,0.6785433070866141,0,0.0,0.9231535830748429,4689.620202020202,0.9559547244094488,4856.25,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,27926,0.6871555118110236,12714,0.31284448818897637,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1090,0.21456692913385828,5080,3132,0.6165354330708661,0,0.0,0.9058035927327265,4601.482251082251,0.9455462598425197,4803.375,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,cross_model,28801,0.7086860236220472,11839,0.29131397637795275,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1289,0.253740157480315,5080,3326,0.6547244094488189,0,0.0,0.9141692078699953,4643.979575979576,0.9499753937007874,4825.875,Qwen/Qwen3.6-35B-A3B
mixed_language,40,127,8,40640,cross_model,29104,0.7161417322834646,11536,0.28385826771653544,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1322,0.26023622047244094,5080,3364,0.6622047244094488,0,0.0,0.9132627390107704,4639.374714174714,0.9479084645669291,4815.375,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,27540,0.6776574803149606,13100,0.32234251968503935,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,998,0.19645669291338583,5080,3017,0.5938976377952756,0,0.0,0.9001847059327374,4572.938306138306,0.9422736220472441,4786.75,Qwen/Qwen3.6-35B-A3B
math_numeric,40,127,8,40640,cross_model,28370,0.6980807086614174,12270,0.3019192913385827,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1202,0.23661417322834646,5080,3232,0.6362204724409449,0,0.0,0.9061361560574159,4603.171672771673,0.9446358267716536,4798.75,Qwen/Qwen3.6-35B-A3B
low_margin,40,127,8,40640,cross_model,29723,0.731373031496063,10917,0.268626968503937,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1415,0.2785433070866142,5080,3416,0.6724409448818898,0,0.0,0.9206824146981627,4677.066666666667,0.95435531496063,4848.125,Qwen/Qwen3.6-35B-A3B
logs,40,127,8,40640,cross_model,29479,0.725369094488189,11161,0.274630905511811,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1354,0.26653543307086613,5080,3380,0.6653543307086615,0,0.0,0.918187079761883,4664.390365190366,0.952755905511811,4840.0,Qwen/Qwen3.6-35B-A3B
summarization,40,127,8,40640,cross_model,31259,0.7691683070866142,9381,0.23083169291338582,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1731,0.340748031496063,5080,3745,0.7372047244094488,0,0.0,0.9371541057367829,4760.742857142857,0.963853346456693,4896.375,Qwen/Qwen3.6-35B-A3B
logs,40,127,8,40640,cross_model,29552,0.7271653543307086,11088,0.27283464566929133,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0250f87838b3c4e749b5,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1349,0.2655511811023622,5080,3402,0.6696850393700787,0,0.0,0.9191933875398441,4669.5024087024085,0.9533218503937008,4842.875,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,cross_model,28981,0.713115157480315,11659,0.28688484251968505,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,027150b07a186d142ae6,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1323,0.26043307086614176,5080,3330,0.655511811023622,0,0.0,0.9132124437242547,4639.119214119214,0.9491387795275591,4821.625,Qwen/Qwen3.6-35B-A3B
needle,40,127,8,40640,cross_model,28319,0.6968257874015747,12321,0.3031742125984252,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,02a3fef10ad703b70508,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1169,0.23011811023622047,5080,3229,0.6356299212598425,0,0.0,0.9111123959155456,4628.450971250972,0.9487696850393701,4819.75,Qwen/Qwen3.6-35B-A3B
logs,40,78,8,24960,cross_model,16542,0.6627403846153846,8418,0.3372596153846154,110,True,78,79,32,32,0,"[110, 40, 8]",0,True,32,True,79,110,32,0,0,32,"[79, 40, 8]",1,False,03475cd4ee88e0e9400a,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,78,3120,655,0.20993589743589744,3120,1838,0.5891025641025641,0,0.0,0.8954810431733509,2793.900854700855,0.939022435897436,2929.75,Qwen/Qwen3.6-35B-A3B
low_margin,40,127,8,40640,cross_model,29195,0.718380905511811,11445,0.281619094488189,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,0364b7d8d89c84a3bd6d,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1308,0.2574803149606299,5080,3327,0.6549212598425197,0,0.0,0.9152966456116064,4649.706959706959,0.9510334645669292,4831.25,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,29401,0.7234498031496063,11239,0.2765501968503937,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,0394d59a86c26188b0e5,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1338,0.26338582677165356,5080,3371,0.6635826771653544,0,0.0,0.9182335162650123,4664.626262626262,0.9529035433070866,4840.75,Qwen/Qwen3.6-35B-A3B
code,40,127,8,40640,cross_model,29973,0.7375246062992126,10667,0.2624753937007874,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03abe1c0830e3621b532,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1477,0.290748031496063,5080,3447,0.6785433070866141,0,0.0,0.920052449737489,4673.866444666444,0.9534202755905512,4843.375,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,cross_model,28209,0.694119094488189,12431,0.305880905511811,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03adb09fa2be78c52cff,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1152,0.22677165354330708,5080,3186,0.6271653543307086,0,0.0,0.9070289290761732,4607.706959706959,0.9459645669291339,4805.5,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,cross_model,28424,0.6994094488188977,12216,0.30059055118110234,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03be0a1c2e15e0e45156,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1194,0.23503937007874015,5080,3260,0.6417322834645669,0,0.0,0.9118083316508514,4631.986324786325,0.9489911417322835,4820.875,Qwen/Qwen3.6-35B-A3B
needle,40,127,8,40640,cross_model,28629,0.7044537401574803,12011,0.2955462598425197,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03c274dea50b8653f42a,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1245,0.24507874015748032,5080,3237,0.6372047244094489,0,0.0,0.9101383917919352,4623.503030303031,0.9480314960629921,4816.0,Qwen/Qwen3.6-35B-A3B
