category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,108,8,34560,same_model,26821,0.7760706018518518,7739,0.22392939814814813,140,True,108,109,32,32,0,"[140, 40, 8]",0,True,32,True,109,140,32,0,0,32,"[109, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,108,4320,1584,0.36666666666666664,4320,3229,0.7474537037037037,0,0.0,0.9396661054994387,4059.357575757576,0.9653645833333333,4170.375,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,40,127,8,40640,same_model,29973,0.7375246062992126,10667,0.2624753937007874,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1549,0.30492125984251967,5080,3465,0.6820866141732284,0,0.0,0.9216091869635177,4681.77466977467,0.9541584645669291,4847.125,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,29008,0.7137795275590552,11632,0.2862204724409449,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1304,0.2566929133858268,5080,3298,0.6492125984251969,0,0.0,0.9130556582525088,4638.322743922744,0.949384842519685,4822.875,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,same_model,29970,0.7374507874015748,10670,0.2625492125984252,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1533,0.3017716535433071,5080,3481,0.6852362204724409,0,0.0,0.9226843235504653,4687.236363636363,0.9553395669291339,4853.125,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,40,127,8,40640,same_model,29569,0.7275836614173228,11071,0.27241633858267716,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1400,0.2755905511811024,5080,3397,0.6687007874015748,0,0.0,0.9132106039192653,4639.109867909868,0.947490157480315,4813.25,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,same_model,27776,0.6834645669291338,12864,0.3165354330708661,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1129,0.22224409448818896,5080,3091,0.6084645669291339,0,0.0,0.9023556058989131,4583.966477966478,0.9432824803149606,4791.875,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,same_model,29476,0.7252952755905512,11164,0.2747047244094488,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1454,0.2862204724409449,5080,3408,0.6708661417322834,0,0.0,0.9174865903999762,4660.83187923188,0.9517470472440945,4834.875,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,same_model,30450,0.749261811023622,10190,0.25073818897637795,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1602,0.3153543307086614,5080,3560,0.7007874015748031,0,0.0,0.9281862844067569,4715.186324786325,0.9587844488188977,4870.625,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,same_model,29960,0.7372047244094488,10680,0.26279527559055116,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1501,0.2954724409448819,5080,3456,0.6803149606299213,0,0.0,0.9215839628438054,4681.646531246532,0.9544045275590551,4848.375,Qwen/Qwen3.6-35B-A3B-FP8
summarization,40,127,8,40640,same_model,31623,0.778125,9017,0.221875,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,5080,1854,0.3649606299212598,5080,3742,0.7366141732283464,0,0.0,0.936219371180001,4755.994405594405,0.9632135826771654,4893.125,Qwen/Qwen3.6-35B-A3B-FP8
