category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,64,8,20480,cross_model,15492,0.7564453125,4988,0.2435546875,96,True,64,65,32,32,0,"[96, 40, 8]",0,True,32,True,65,96,32,0,0,32,"[65, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,64,2560,791,0.308984375,2560,1902,0.74296875,0,0.0,0.9404640151515153,2407.5878787878787,0.966162109375,2473.375,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,40,127,8,40640,cross_model,29814,0.7336122047244095,10826,0.26638779527559053,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1411,0.277755905511811,5080,3438,0.676771653543307,0,0.0,0.9205890522425955,4676.592385392385,0.9537155511811024,4844.875,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,28708,0.7063976377952756,11932,0.2936023622047244,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1242,0.24448818897637795,5080,3297,0.6490157480314961,0,0.0,0.9130526428951625,4638.307425907426,0.9495324803149606,4823.625,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,cross_model,29309,0.7211860236220472,11331,0.27881397637795274,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1347,0.2651574803149606,5080,3388,0.6669291338582677,0,0.0,0.9173967589715619,4660.375535575536,0.9519192913385827,4835.75,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,40,127,8,40640,cross_model,28987,0.7132627952755906,11653,0.28673720472440944,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1275,0.25098425196850394,5080,3337,0.6568897637795276,0,0.0,0.912838993901986,4637.222089022089,0.9484990157480315,4818.375,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,28802,0.7087106299212599,11838,0.2912893700787402,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1258,0.24763779527559054,5080,3326,0.6547244094488189,0,0.0,0.9156026650514839,4651.261538461538,0.9512303149606299,4832.25,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,cross_model,24703,0.6078494094488189,15937,0.3921505905511811,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,884,0.17401574803149605,5080,2620,0.515748031496063,0,0.0,0.8554959257715163,4345.919302919303,0.9098425196850394,4622.0,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,cross_model,29422,0.7239665354330709,11218,0.2760334645669291,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1325,0.2608267716535433,5080,3321,0.653740157480315,0,0.0,0.91653463771574,4655.99595959596,0.9520423228346456,4836.375,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,cross_model,29157,0.7174458661417323,11483,0.2825541338582677,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1346,0.26496062992125985,5080,3337,0.6568897637795276,0,0.0,0.9159386108205007,4652.968142968143,0.9515009842519685,4833.625,Qwen/Qwen3.6-35B-A3B-FP8
summarization,40,127,8,40640,cross_model,29635,0.7292076771653543,11005,0.27079232283464566,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1424,0.2803149606299213,5080,3450,0.6791338582677166,0,0.0,0.9207068347225827,4677.19072039072,0.9539124015748032,4845.875,Qwen/Qwen3.6-35B-A3B-FP8
