category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,64,8,20480,cross_model,15407,0.752294921875,5073,0.247705078125,96,True,64,65,32,32,0,"[96, 40, 8]",0,True,32,True,65,96,32,0,0,32,"[65, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,64,2560,755,0.294921875,2560,1869,0.730078125,0,0.0,0.9364788510101011,2397.3858585858584,0.963720703125,2467.125,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,40,127,8,40640,cross_model,29888,0.7354330708661417,10752,0.26456692913385826,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1449,0.28523622047244096,5080,3368,0.662992125984252,0,0.0,0.918515867334765,4666.060606060606,0.9531496062992126,4842.0,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,28890,0.7108759842519685,11750,0.2891240157480315,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1230,0.2421259842519685,5080,3275,0.6446850393700787,0,0.0,0.9134666470886943,4640.410567210567,0.9500984251968504,4826.5,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,cross_model,29305,0.7210875984251969,11335,0.2789124015748031,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1320,0.25984251968503935,5080,3334,0.6562992125984252,0,0.0,0.9154711255498659,4650.5933177933175,0.9510088582677165,4831.125,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,40,127,8,40640,cross_model,28866,0.7102854330708661,11774,0.28971456692913383,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1255,0.2470472440944882,5080,3264,0.6425196850393701,0,0.0,0.9092938470103824,4619.212742812743,0.9464320866141732,4807.875,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,28430,0.6995570866141733,12210,0.3004429133858268,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1225,0.24114173228346455,5080,3285,0.6466535433070866,0,0.0,0.9112861853806737,4629.333821733821,0.9480807086614174,4816.25,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,cross_model,24486,0.6025098425196851,16154,0.39749015748031497,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,789,0.15531496062992126,5080,2568,0.5055118110236221,0,0.0,0.8550673386106458,4343.74208014208,0.9111220472440945,4628.5,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,cross_model,29218,0.7189468503937008,11422,0.28105314960629924,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1333,0.26240157480314963,5080,3256,0.6409448818897637,0,0.0,0.9127600308702671,4636.820956820957,0.9495570866141733,4823.75,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,cross_model,28838,0.7095964566929134,11802,0.2904035433070866,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1231,0.24232283464566928,5080,3297,0.6490157480314961,0,0.0,0.9139498733986924,4642.865356865357,0.9501722440944882,4826.875,Qwen/Qwen3.6-35B-A3B-FP8
summarization,40,127,8,40640,cross_model,29714,0.7311515748031496,10926,0.26884842519685037,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1441,0.2836614173228346,5080,3468,0.6826771653543308,0,0.0,0.9228430886698602,4688.042890442891,0.9554625984251969,4853.75,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,cross_model,30014,0.7385334645669291,10626,0.26146653543307086,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0250f87838b3c4e749b5,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1446,0.2846456692913386,5080,3509,0.690748031496063,0,0.0,0.9263827248866618,4706.024242424242,0.9578494094488189,4865.875,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,cross_model,28747,0.7073572834645669,11893,0.29264271653543306,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,027150b07a186d142ae6,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1249,0.24586614173228347,5080,3252,0.6401574803149607,0,0.0,0.9101820139615415,4623.724630924631,0.947736220472441,4814.5,Qwen/Qwen3.6-35B-A3B-FP8
needle,40,127,8,40640,cross_model,28393,0.6986466535433071,12247,0.3013533464566929,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,02a3fef10ad703b70508,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1199,0.23602362204724409,5080,3207,0.6312992125984253,0,0.0,0.9087254215600671,4616.325141525142,0.947121062992126,4811.375,Qwen/Qwen3.6-35B-A3B-FP8
logs,40,127,8,40640,cross_model,27212,0.6695866141732284,13428,0.33041338582677166,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03475cd4ee88e0e9400a,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1096,0.215748031496063,5080,2962,0.5830708661417323,0,0.0,0.8866200378798805,4504.029792429792,0.9310531496062993,4729.75,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,cross_model,29238,0.7194389763779527,11402,0.28056102362204727,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,0364b7d8d89c84a3bd6d,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1340,0.2637795275590551,5080,3344,0.658267716535433,0,0.0,0.9162269751246128,4654.433033633034,0.9514763779527559,4833.5,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,29113,0.716363188976378,11527,0.28363681102362204,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,0394d59a86c26188b0e5,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1261,0.24822834645669292,5080,3286,0.6468503937007875,0,0.0,0.9145666232280406,4645.998445998446,0.950738188976378,4829.75,Qwen/Qwen3.6-35B-A3B-FP8
code,40,127,8,40640,cross_model,29860,0.734744094488189,10780,0.265255905511811,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03abe1c0830e3621b532,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1433,0.28208661417322833,5080,3453,0.6797244094488188,0,0.0,0.919921749291828,4673.202486402486,0.9533218503937008,4842.875,Qwen/Qwen3.6-35B-A3B-FP8
chat,40,127,8,40640,cross_model,28922,0.7116633858267717,11718,0.28833661417322837,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03adb09fa2be78c52cff,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1257,0.24744094488188975,5080,3274,0.6444881889763779,0,0.0,0.9124918956808721,4635.45883005883,0.949015748031496,4821.0,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,40,127,8,40640,cross_model,28238,0.6948326771653544,12402,0.30516732283464565,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03be0a1c2e15e0e45156,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1183,0.2328740157480315,5080,3232,0.6362204724409449,0,0.0,0.9104737257493164,4625.206526806527,0.9481791338582677,4816.75,Qwen/Qwen3.6-35B-A3B-FP8
needle,40,127,8,40640,cross_model,28541,0.7022883858267717,12099,0.29771161417322833,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03c274dea50b8653f42a,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1224,0.2409448818897638,5080,3286,0.6468503937007875,0,0.0,0.9133476497256026,4639.806060606061,0.9499507874015748,4825.75,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,40,127,8,40640,cross_model,20782,0.5113681102362204,19858,0.4886318897637795,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,03d767a5e1b20a947895,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,359,0.07066929133858267,5080,1897,0.3734251968503937,0,0.0,0.80931269954892,4111.308513708514,0.8807086614173228,4474.0,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,40,127,8,40640,cross_model,27897,0.6864419291338583,12743,0.31355807086614174,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,043a64a79e93471ae3d3,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1191,0.2344488188976378,5080,3082,0.6066929133858268,0,0.0,0.8983203279659973,4563.467266067266,0.939886811023622,4774.625,Qwen/Qwen3.6-35B-A3B-FP8
