category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_shape_match,sample_id,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,40,64,8,20480,same_model,16841,0.822314453125,3639,0.177685546875,96,True,64,65,32,32,0,"[96, 40, 8]",0,True,32,True,65,96,32,0,0,32,"[65, 40, 8]",1,False,0003c1ab20d811680fab,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,64,2560,1163,0.454296875,2560,2048,0.8,0,0.0,0.9539835858585859,2442.1979797979798,0.973876953125,2493.125,Qwen/Qwen3.6-35B-A3B
short_qa,40,127,8,40640,same_model,33487,0.8239911417322835,7153,0.17600885826771653,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,False,00948d836971f053bbf9,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2374,0.4673228346456693,5080,3957,0.7789370078740158,0,0.0,0.9489405869720831,4820.618181818182,0.9709891732283464,4932.625,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,same_model,33149,0.8156742125984252,7491,0.1843257874015748,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00afd811d2fb32cde01b,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2330,0.45866141732283466,5080,3984,0.784251968503937,0,0.0,0.9481708536432947,4816.707936507936,0.9700787401574803,4928.0,Qwen/Qwen3.6-35B-A3B
chat,40,127,8,40640,same_model,33384,0.8214566929133859,7256,0.17854330708661417,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00c5b0bb8b418f1087d2,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2364,0.4653543307086614,5080,3973,0.7820866141732283,0,0.0,0.9487646998670619,4819.724675324675,0.9706938976377952,4931.125,Qwen/Qwen3.6-35B-A3B
mixed_language,40,127,8,40640,same_model,33253,0.8182332677165355,7387,0.18176673228346457,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,00ea1d2b9e3c897033ae,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2352,0.462992125984252,5080,3977,0.7828740157480315,0,0.0,0.9452178879737937,4801.706870906871,0.9675688976377953,4915.25,Qwen/Qwen3.6-35B-A3B
json_structured,40,127,8,40640,same_model,32307,0.7949557086614173,8333,0.20504429133858268,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,01159c067d84ad43a166,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2082,0.4098425196850394,5080,3872,0.7622047244094489,0,0.0,0.9426851888269211,4788.840759240759,0.9669537401574804,4912.125,Qwen/Qwen3.6-35B-A3B
math_numeric,40,127,8,40640,same_model,27966,0.6881397637795276,12674,0.31186023622047243,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,014c2c850a48d8d32f72,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,1491,0.293503937007874,5080,3130,0.6161417322834646,0,0.0,0.8844399607391734,4492.955000555001,0.9275836614173228,4712.125,Qwen/Qwen3.6-35B-A3B
low_margin,40,127,8,40640,same_model,32472,0.7990157480314961,8168,0.20098425196850395,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,014ff27d5116c25971aa,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2147,0.42263779527559053,5080,3808,0.7496062992125985,0,0.0,0.9400509027280679,4775.458585858586,0.9656003937007874,4905.25,Qwen/Qwen3.6-35B-A3B
logs,40,127,8,40640,same_model,33066,0.8136318897637795,7574,0.18636811023622046,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,False,0167de77ade28a1387ba,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2297,0.45216535433070865,5080,3971,0.7816929133858268,0,0.0,0.9473777753305311,4812.679098679098,0.9696358267716535,4925.75,Qwen/Qwen3.6-35B-A3B
summarization,40,127,8,40640,same_model,34546,0.8500492125984253,6094,0.1499507874015748,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,False,022f9baa16bf97afecb7,expected_aligned_shape,Qwen/Qwen3.6-35B-A3B,ok,32,127,5080,2709,0.533267716535433,5080,4189,0.8246062992125984,0,0.0,0.9593692833850314,4873.595959595959,0.97689468503937,4962.625,Qwen/Qwen3.6-35B-A3B
